Name,Place,Machine ,Begin,End,Purpose ,Notable discovery,Comment
CMS,Cern,LHC,2008,--,General,Higgs boson 2012, 
Atlas ,Cern,LHC,2008,--,General,Higgs boson 2012, 
LHCb,Cern,LHC,2008,--,CP violation,CP violation, 
Alice,Cern,LHC,2008,--,Quark-Gluon Plasma, , 
Aleph,Cern,LEP,1989,2000,General,"Precision W, Z", Apparatus for LEP PHysics at CERN
Delphi,Cern,LEP,1989,2000,General,"Precision W, Z","DEtector with Lepton, Photon and Hadron Identification"
L3,Cern,LEP,1989,2000,SM & beyond, ,Its enormous octagonal magnet return yoke remained in place in the cavern and became part of the ALICE detector for the LHC
Opal,Cern,LEP,1989,2000,General, ,"Omni-Purpose Apparatus for LEP. The name of the experiment was a play on words, as some of the founding members of the scientific collaboration which first proposed the design had previously worked on the JADE detector at DESY. The lead glass blocks from the OPAL barrel electromagnetic calorimeter are currently being re-used in the large-angle photon veto detectors at the NA62 experiment at CERN."
COMPASS,Cern,SPS,2002,--,Nucleon spin and hadron spectroscopy, ,COmmon Muon and Proton Apparatus for Structure and Spectroscopy
Gargamelle,Cern,"PS, SPS",1970,1979,Neutrino and anti-neutrino detection,Neutral currents,Rebelais's giantess in 'The Life of Gargantua and of Pantagruel'
BEBC,Cern,"PS, SPS",1973,1984,,,"Big European Bubble Chamber. PS (1973-1977), SPS (1977-1984)"
NA48,Cern,SPS,1997,2004,CP violation kaon studies, ,"North Area, inherited from NA31 (1986-1989), NA48/1 high precision kaon decays, NA48/2 2003-2004, succeeded by NA62 (2015+)"
NA61/SHINE,Cern,SPS,2003,--, , , 
UA1,Cern,SPS,1981,1990,General,W&Z bosons,Underground Area 1
UA2,Cern,SPS,1981,1990,General,W&Z bosons,Underground Area 2
UA4,Cern,SPS,1981,1991,P-P cross-section, ,"Underground Area 4 (COULOMB) 1979-1985, 1990-1991 (UA4/2)"
UA5,Cern,SPS,1981,1983,Event shapes, ,"Underground Area 5 1979-1983, Later (UA4/2)"
CDF,FermiLab,Tevatron,1985,2011,General,Top Quark 1995,Collider Detector FermiLab
D0,FermiLab,Tevatron,1985,2011,General,Top Quark 1995,D0 interaction region in the Tevatron ring
Mu2e,FermiLab,--,2019,--,BSM, , 
Tasso,Desy,Petra,1979,1986, ,Gluon 1978,PETRA: Positron Electron Tandem Ring Accelerator
JADE,Desy,Petra,1979,1986, ,Gluon 1978,"JADE: Japan, Deutschland and England"
MARK J,Desy,Petra,1979,1986, ,Gluon 1978, 
CELLO,Desy,Petra,1979,1986 , , , 
PLUTO,Desy,Doris,1979,1986,"Total cross-section for e+e-, charm states, tau ",Gluon 1978,"PLUTO was the first electromagnetic superconductive solenoid in the world, with a very uniform axial magnetic field of 12000 Gauss"
DASP,Desy,Doris,1979, , , ,Double-Arm SPectrometer
ARGUS,Desy,Doris,1981,1993,B physics,B0d-B0d mixing,"A Russian-German-United states-Swedish collaboration, use leftovers from DASP"
Crystal Ball (CB),"SLAC, Desy, BNL","SPEAR, Doris, AGS",1979, --,"Neutral particles, Y(1S) study", ,Moves around. Now at Mainz. 4pi coverage
